epoch,train_loss,train_ips_estimate,val_avg_cost
1,-0.7474713690740906,0.7474713690740906,0.18601318429349384
2,-0.9199414013520532,0.9199414013520532,0.1828604184580109
3,-0.9366947218127872,0.9366947218127872,0.1827648800993599
4,-0.9457287367271341,0.9457287367271341,0.2061717779688545
5,-0.9564192508873732,0.9564192508873732,0.19891086271137862
6,-0.95493810850641,0.95493810850641,0.1885927199770708
7,-0.9690972586040911,0.9690972586040911,0.19250979268176172
8,-0.9665138015280599,0.9665138015280599,0.17454858125537404
9,-0.972951665520668,0.972951665520668,0.18658641444539983
10,-0.9716022954038952,0.9716022954038952,0.17827457724276297
11,-0.9779227926679279,0.9779227926679279,0.17349765931021305
12,-0.9810659354147704,0.9810659354147704,0.16919843317091812
13,-0.9790253729923911,0.9790253729923911,0.17187350721314607
14,-0.9783334511777629,0.9783334511777629,0.17187350721314607
15,-0.9819824417000231,0.9819824417000231,0.18343364860991687
16,-0.9787732531195101,0.9787732531195101,0.17827457724276297
17,-0.9839122593402863,0.9839122593402863,0.17512181140728003
18,-0.9889130035172338,0.9889130035172338,0.17235119900640106
19,-0.9905820203864056,0.9905820203864056,0.17617273335244102
20,-0.9920958617459172,0.9920958617459172,0.16413490016241522
21,-0.9898517254901968,0.9898517254901968,0.16365720836916023
22,-0.9995417355195336,0.9995417355195336,0.17989872933982995
23,-0.9821139677711155,0.9821139677711155,0.1645170535970192
24,-0.995751264302627,0.995751264302627,0.17837011560141397
25,-0.9912006673605546,0.9912006673605546,0.17913442247062195
26,-0.994110525302265,0.994110525302265,0.1705359701920321
27,-0.9981428242248037,0.9981428242248037,0.17311550587560906
28,-0.9915621202924977,0.9915621202924977,0.17980319098117895
29,-0.9962528490501902,0.9962528490501902,0.18362472532721888
30,-0.9964340471703074,0.9964340471703074,0.17235119900640106
31,-1.0016861493172853,1.0016861493172853,0.17426196617942102
32,-0.992068904897441,0.992068904897441,0.17502627304862903
33,-0.9971784113541894,0.9971784113541894,0.177510270373555
34,-0.9959083737238593,0.9959083737238593,0.16757428107385114
35,-1.005795806646347,1.005795806646347,0.17770134709085697
36,-0.9961728045473928,0.9961728045473928,0.16690551256329417
37,-0.9929872505042864,0.9929872505042864,0.16862520301901213
38,-1.0039701403483101,1.0039701403483101,0.1823827266647559
39,-0.9911587115215219,0.9911587115215219,0.18305149517531288
40,-1.0047242485958596,1.0047242485958596,0.17435750453807203
41,-1.0042289663916049,1.0042289663916049,0.16814751122575713
42,-0.9992272678924643,0.9992272678924643,0.17779688544950797
43,-1.002157788561738,1.002157788561738,0.175886118276488
44,-1.010101037180942,1.010101037180942,0.16795643450845515
45,-1.0109216752259627,1.0109216752259627,0.16766981943250214
46,-0.9987941215867582,0.9987941215867582,0.1713002770612401
47,-0.9935441030108411,0.9935441030108411,0.17473965797267602
48,-0.9983491359845452,0.9983491359845452,0.1649947453902742
49,-0.9977018334295439,0.9977018334295439,0.17779688544950797
50,-0.998984351106312,0.998984351106312,0.16967612496417311
51,-1.0052962542875954,1.0052962542875954,0.17464411961402504
52,-1.0046062566663907,1.0046062566663907,0.17789242380815898
53,-0.9991107958814373,0.9991107958814373,0.17789242380815898
54,-1.0025743524665418,1.0025743524665418,0.16595012897678418
55,-1.0050982625588127,1.0050982625588127,0.17292442915830705
56,-1.0081926415795865,1.0081926415795865,0.17559950320053502
57,-1.004177063703537,1.004177063703537,0.17903888411197097
58,-1.0032107376534005,1.0032107376534005,0.18123626636094392
59,-1.012914288951003,1.012914288951003,0.17980319098117895
60,-1.0087556204070216,1.0087556204070216,0.17970765262252794
61,-1.0099943234868671,1.0099943234868671,0.17225566064775008
62,-1.0063938181037488,1.0063938181037488,0.17158689213719308
63,-1.010439070670501,1.010439070670501,0.17817903888411196
64,-1.0102001363816469,1.0102001363816469,0.1703448934747301
65,-1.0084600876206937,1.0084600876206937,0.1713002770612401
66,-1.0067564955224162,1.0067564955224162,0.17235119900640106
67,-1.0095182514708976,1.0095182514708976,0.1654724371835292
68,-1.0095531402722648,1.0095531402722648,0.1711092003439381
69,-1.0107528521962788,1.0107528521962788,0.16814751122575713
70,-1.010642778614293,1.010642778614293,0.17196904557179707
71,-1.0233882212120553,1.0233882212120553,0.17282889079965605
72,-1.0145162441160367,1.0145162441160367,0.16814751122575713
73,-1.0115526052920714,1.0115526052920714,0.176937040221649
74,-1.0105677661688433,1.0105677661688433,0.1702493551160791
75,-1.018381108408389,1.018381108408389,0.17473965797267602
76,-1.015037918868272,1.015037918868272,0.17473965797267602
77,-1.0167155233414278,1.0167155233414278,0.175217349765931
78,-1.01682745632918,1.01682745632918,0.17263781408235407
79,-1.0153660579867985,1.0153660579867985,0.16824304958440814
80,-1.0056575744048408,1.0056575744048408,0.176459348428394
81,-1.013454720377922,1.013454720377922,0.16833858794305914
82,-1.0205342866804288,1.0205342866804288,0.17196904557179707
83,-1.011883966948675,1.011883966948675,0.17368873602751506
84,-1.01176091056803,1.01176091056803,0.1712047387025891
85,-1.0038439197384792,1.0038439197384792,0.18410241712047387
86,-1.0121983153664547,1.0121983153664547,0.17865673067736695
87,-1.0105353891849518,1.0105353891849518,0.1826693417407089
88,-1.0139191986426064,1.0139191986426064,0.16050444253367727
89,-1.0165858884220538,1.0165858884220538,0.16852966466036112
90,-1.0085777361755786,1.0085777361755786,0.16900735645361611
91,-1.0102719716403796,1.0102719716403796,0.1637527467278112
92,-1.0125585075305856,1.0125585075305856,0.17569504155918603
93,-1.0229914305002794,1.0229914305002794,0.17244673736505206
94,-1.016932900833047,1.016932900833047,0.17359319766886405
95,-1.0144062761379324,1.0144062761379324,0.1713002770612401
96,-1.0180610910705898,1.0180610910705898,0.1770325785803
97,-1.016146903452666,1.016146903452666,0.17922996082927295
98,-1.0073505354964214,1.0073505354964214,0.17999426769848095
99,-1.0111771264801854,1.0111771264801854,0.16872074137766313
100,-1.023179864105971,1.023179864105971,0.1702493551160791
101,-1.017287254333496,1.017287254333496,0.17139581541989107
102,-1.0142223776682564,1.0142223776682564,0.19327409955096972
103,-0.9994642481855724,0.9994642481855724,0.17454858125537404
104,-1.0053255149851674,1.0053255149851674,0.18018534441578293
105,-1.0201156379088112,1.0201156379088112,0.175886118276488
106,-1.0201265099255934,1.0201265099255934,0.17865673067736695
107,-1.0217497433009355,1.0217497433009355,0.1700582783987771
108,-1.0184482789557914,1.0184482789557914,0.1717779688544951
109,-1.0211768739897271,1.0211768739897271,0.1770325785803
110,-1.0234165962623514,1.0234165962623514,0.18066303620903792
111,-1.012980470838754,1.012980470838754,0.17884780739466896
112,-1.0143378538929897,1.0143378538929897,0.1717779688544951
113,-1.0174767504567686,1.0174767504567686,0.16910289481226712
114,-1.017249400201051,1.017249400201051,0.16891181809496514
115,-1.009253387865813,1.009253387865813,0.18362472532721888
116,-1.0147229873615762,1.0147229873615762,0.17798796216680998
117,-1.0210373323896658,1.0210373323896658,0.17340212095156204
118,-1.0300071129332418,1.0300071129332418,0.17378427438616603
119,-1.0222074162700903,1.0222074162700903,0.17263781408235407
120,-1.0243827020344527,1.0243827020344527,0.16900735645361611
121,-1.0217143880284352,1.0217143880284352,0.17607719499379001
122,-1.0269544092209444,1.0269544092209444,0.17263781408235407
123,-1.0269312612388446,1.0269312612388446,0.175217349765931
124,-1.018294245004654,1.018294245004654,0.17435750453807203
125,-1.029094445316688,1.029094445316688,0.16872074137766313
126,-1.024514729562013,1.024514729562013,0.1699627400401261
127,-1.0241569125134011,1.0241569125134011,0.16747874271520016
128,-1.0173623069472935,1.0173623069472935,0.18964364192223176
129,-1.015993286734042,1.015993286734042,0.175312888124582
130,-1.0263510113177092,1.0263510113177092,0.16891181809496514
131,-1.026395964881648,1.026395964881648,0.17827457724276297
132,-1.0239048593718072,1.0239048593718072,0.18372026368586988
133,-1.018280336390371,1.018280336390371,0.18008980605713193
134,-1.022757281427798,1.022757281427798,0.1702493551160791
135,-1.0166371620219687,1.0166371620219687,0.18305149517531288
136,-1.0214905803618224,1.0214905803618224,0.16308397821725423
137,-1.0241600275039673,1.0241600275039673,0.17980319098117895
138,-1.0237719481406005,1.0237719481406005,0.19117225566064774
139,-1.0261280238628387,1.0261280238628387,0.16919843317091812
140,-1.0229688863391462,1.0229688863391462,0.1705359701920321
141,-1.0276828612322393,1.0276828612322393,0.17387981274481704
142,-1.0284308033144993,1.0284308033144993,0.17254227572370306
143,-1.027239762570547,1.027239762570547,0.175217349765931
144,-1.025030325288358,1.025030325288358,0.1654724371835292
145,-1.0159486733053043,1.0159486733053043,0.1702493551160791
146,-1.0160821948362433,1.0160821948362433,0.175790579917837
147,-1.0250637822824975,1.0250637822824975,0.17493073468997802
148,-1.0292079105325367,1.0292079105325367,0.16986720168147512
149,-1.016825196535691,1.016825196535691,0.176937040221649
150,-1.0287520023791685,1.0287520023791685,0.175217349765931
151,-1.0249989227108334,1.0249989227108334,0.18085411292633993
152,-1.0223924329747325,1.0223924329747325,0.17827457724276297
153,-1.0236709545487943,1.0236709545487943,0.176650425145696
154,-1.02423044650451,1.02423044650451,0.16929397152956913
155,-1.0268079210882601,1.0268079210882601,0.16891181809496514
156,-1.019336127716562,1.019336127716562,0.17779688544950797
157,-1.0237688551778379,1.0237688551778379,0.18629979936944682
158,-1.028071842763735,1.028071842763735,0.1820961115888029
159,-1.0269996446111929,1.0269996446111929,0.18343364860991687
160,-1.0146209189425344,1.0146209189425344,0.18123626636094392
161,-1.0255824152542197,1.0255824152542197,0.17454858125537404
162,-1.0272112048190574,1.0272112048190574,0.1694850482468711
163,-1.0298236550196358,1.0298236550196358,0.1704404318333811
164,-1.026137519141902,1.026137519141902,0.16728766599789816
165,-1.0257406487413074,1.0257406487413074,0.18343364860991687
166,-1.0281063117410825,1.0281063117410825,0.17397535110346804
167,-1.0295149683952332,1.0295149683952332,0.16929397152956913
168,-1.0268221393875454,1.0268221393875454,0.17569504155918603
169,-1.0232519973879275,1.0232519973879275,0.17779688544950797
170,-1.0233539031899495,1.0233539031899495,0.17779688544950797
171,-1.0232939195373785,1.0232939195373785,0.18620426101079585
172,-1.019377811447434,1.019377811447434,0.175981656635139
173,-1.0256388660358347,1.0256388660358347,0.17483519633132702
174,-1.0266113138717154,1.0266113138717154,0.17731919365625298
175,-1.0257278395735698,1.0257278395735698,0.177605808732206
176,-1.0324406345253405,1.0324406345253405,0.16891181809496514
177,-1.0248341411352158,1.0248341411352158,0.18133180471959492
178,-1.0371409356594086,1.0371409356594086,0.1704404318333811
179,-1.0246162893979445,1.0246162893979445,0.17617273335244102
180,-1.0298992272304452,1.0298992272304452,0.17206458393044807
181,-1.0348748519368793,1.0348748519368793,0.16652335912869018
182,-1.0197479264891667,1.0197479264891667,0.18524887742428586
183,-1.0275365554768106,1.0275365554768106,0.16852966466036112
184,-1.0292525829180428,1.0292525829180428,0.17149135377854208
185,-1.0281465915234194,1.0281465915234194,0.17311550587560906
186,-1.027479148429373,1.027479148429373,0.176841501862998
187,-1.0254339439713436,1.0254339439713436,0.17311550587560906
188,-1.0215501383594845,1.0215501383594845,0.17464411961402504
